"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"878","Health","PCPIM_PC_CP_A_PT","2008-03-31",1.19,6.69,NA,NA,NA,12.59,4.34,NA,NA,NA,NA,1.85,NA,NA,NA,NA,6.13,5.93,NA,NA,17.37,NA,NA,0.45,2.03,NA,8.81,NA,NA,NA,7.2,0.2,8.11,41.08,NA,2.26,36.09,4.51,NA,-0.53,17.57,6.15,NA,NA,NA,3.87,NA,0.4,0.91,4.34,NA,NA,NA
"879","Health","PCPIM_PC_CP_A_PT","2008-04-30",1.19,8.49,NA,NA,NA,15.57,2.83,NA,NA,NA,NA,0.7,NA,NA,NA,NA,5.85,7.81,NA,NA,18.4,NA,NA,1.84,0,NA,10.06,NA,NA,NA,7.45,0.2,9.3,33.19,NA,9.58,37.17,2.79,NA,-0.8,18.66,5.16,NA,NA,NA,8.52,NA,0.4,1.15,3.8,NA,NA,NA
"880","Health","PCPIM_PC_CP_A_PT","2008-05-31",1.65,8.64,NA,NA,NA,14.06,4.04,NA,NA,NA,NA,0.34,NA,NA,NA,NA,6.89,9.42,NA,NA,16.83,NA,NA,1.83,0.34,NA,10.44,NA,NA,NA,7.3,0.2,9.88,31.76,NA,14.42,36.86,5.2,NA,-0.74,19.59,7.66,NA,NA,NA,6.09,NA,0.43,3.24,3.82,NA,NA,NA
"881","Health","PCPIM_PC_CP_A_PT","2008-06-30",2,8.14,NA,NA,NA,2.42,3.29,NA,NA,NA,NA,1.44,NA,NA,NA,NA,5.34,12.06,NA,NA,17.53,NA,NA,1.94,1.01,NA,10.61,NA,NA,NA,6.57,0.2,9.46,33.86,NA,13.86,37.64,8.85,NA,-0.77,19.49,9.27,NA,NA,NA,10.06,NA,0.5,2.67,3.71,NA,NA,NA
"882","Health","PCPIM_PC_CP_A_PT","2008-07-31",2,7.47,NA,NA,NA,5.71,2.49,NA,NA,NA,NA,1.78,NA,NA,NA,NA,-0.97,14.18,NA,NA,16.76,NA,NA,1.93,0,NA,12.05,NA,NA,NA,10.26,0.2,7.31,33.72,NA,17.05,36.24,10.84,NA,-0.36,22.48,9.16,NA,NA,NA,11.39,NA,0.38,3.26,3.83,NA,NA,NA
"883","Health","PCPIM_PC_CP_A_PT","2008-08-31",1.99,6.71,NA,NA,NA,5.93,3.99,NA,NA,NA,NA,1.72,NA,NA,NA,NA,0.23,12.97,NA,NA,16.22,NA,NA,2.3,0,NA,11.86,NA,NA,NA,7.24,0.4,8.01,34,NA,4.36,38.12,13.17,NA,0.79,17.05,8.97,NA,NA,NA,11.39,NA,0.11,3.48,3.73,NA,NA,NA
"884","Health","PCPIM_PC_CP_A_PT","2008-09-30",2.16,5.92,NA,NA,NA,5.93,3.99,NA,NA,NA,NA,1.39,NA,NA,NA,NA,0.2,13.91,NA,NA,15.3,NA,NA,2.3,0,NA,12,NA,NA,NA,5.36,0.4,8.73,40.71,NA,8.93,39.88,12.82,NA,-0.4,11.35,8.14,NA,NA,NA,10.22,NA,0.11,3.36,3.78,NA,NA,NA
"885","Health","PCPIM_PC_CP_A_PT","2008-10-31",2.16,5.05,NA,NA,NA,6.44,5.34,NA,NA,NA,NA,2.05,NA,NA,NA,NA,0.17,15.5,NA,NA,13.94,NA,NA,1.84,0,NA,12.7,NA,NA,NA,6.1,0.5,8.42,13.6,NA,4.11,37.17,14.1,NA,0.39,12.67,8.1,NA,NA,NA,10.55,NA,0.11,3.18,3.84,NA,NA,NA
"886","Health","PCPIM_PC_CP_A_PT","2008-11-30",2.04,5.23,NA,NA,NA,-1.24,9.67,NA,NA,NA,NA,2.39,NA,NA,NA,NA,-0.1,15.6,NA,NA,14.84,NA,NA,1.84,0,NA,12.75,NA,NA,NA,5.62,0.5,8.04,13.62,NA,10.89,36.39,12.09,NA,0.65,22.71,7.9,NA,NA,NA,9.19,NA,0.13,3.53,3.83,NA,NA,NA
"887","Health","PCPIM_PC_CP_A_PT","2008-12-31",2.21,5.48,NA,NA,NA,23.06,9.56,NA,NA,NA,NA,3.35,NA,NA,NA,NA,0,13.69,NA,NA,14.15,NA,NA,1.93,0,NA,12.9,NA,NA,NA,5.33,0.5,7.07,-5.14,NA,14.01,36.55,12.33,NA,0.28,21.85,8.13,NA,NA,NA,5.92,NA,0.13,3.43,3.8,NA,NA,NA
"888","Health","PCPIM_PC_CP_A_PT","2009-01-31",2.03,5.53,1.71,NA,NA,15.76,9.2,NA,NA,NA,NA,0.59,NA,NA,NA,NA,3.53,12.95,NA,NA,13.84,NA,NA,0.42,0,NA,13.39,NA,NA,NA,5.22,0.5,6.53,-14.82,NA,15.79,13.4,8.27,NA,1.99,20.28,8.69,NA,7.54,NA,12.87,NA,0.76,2.34,3.08,NA,NA,NA
"889","Health","PCPIM_PC_CP_A_PT","2009-02-28",3.59,4.5,1.81,NA,NA,17.18,6.98,NA,NA,NA,NA,-0.32,NA,NA,NA,NA,3.92,12.83,NA,NA,14.83,NA,NA,-0.09,0,NA,13.5,NA,NA,NA,5,0.69,7.05,-17.77,NA,18.27,-19.45,8.86,NA,1.5,17.24,8.14,NA,9.32,NA,7.94,NA,0.76,2.81,2.68,NA,NA,NA
"890","Health","PCPIM_PC_CP_A_PT","2009-03-31",3.51,4.9,1.71,NA,NA,16.8,6.96,NA,NA,NA,NA,0.22,NA,NA,NA,NA,3.93,16.08,NA,NA,12.56,NA,NA,2.73,1.98,NA,12.24,NA,NA,NA,6.29,0.69,4.9,-17.91,NA,15.01,-19.45,10.13,NA,2.37,19.77,7.41,NA,11.63,NA,8.8,NA,0.76,2.94,2.23,NA,NA,NA
"891","Health","PCPIM_PC_CP_A_PT","2009-04-30",3.51,3.39,1.81,NA,NA,14.39,9.03,NA,NA,NA,NA,1.26,NA,NA,NA,NA,4.9,14.38,NA,NA,8.7,NA,NA,2.76,4.05,NA,10.48,NA,NA,NA,6.63,0.69,3.95,-12.34,NA,13.02,-19.23,8.74,NA,1.9,18.67,8.09,NA,12.26,NA,4.26,NA,0.76,3.19,2.37,NA,NA,NA
"892","Health","PCPIM_PC_CP_A_PT","2009-05-31",3.76,2.95,1.61,NA,NA,15,7.76,NA,NA,NA,NA,1.98,NA,NA,NA,NA,3.87,15.9,NA,NA,9.08,NA,NA,2.72,3.7,NA,10.6,NA,NA,NA,6.63,0.69,6.46,-11.07,NA,9.56,-19.45,6.62,NA,1.86,18.04,7.07,NA,11.53,NA,8.15,NA,0.73,1.17,2.09,NA,NA,NA
"893","Health","PCPIM_PC_CP_A_PT","2009-06-30",3.5,2.82,1.51,NA,NA,15.91,7.53,NA,NA,NA,NA,0.92,NA,NA,NA,NA,6.14,15.87,NA,NA,8.09,NA,NA,2.66,3.01,NA,9.56,NA,NA,NA,7.28,0.69,6.58,-18.53,NA,9.26,-19.45,3.24,NA,1.73,18.02,6.63,NA,11.32,NA,9.09,NA,0.67,1.28,2.02,NA,NA,NA
"894","Health","PCPIM_PC_CP_A_PT","2009-07-31",3.5,2.74,1.41,NA,NA,12.29,8.37,NA,NA,NA,NA,0.67,NA,NA,NA,NA,5.72,15.82,NA,NA,7.5,NA,NA,2.83,4.05,NA,7.83,NA,NA,NA,4.47,0.69,7.01,-18.15,NA,8.79,-19.45,2.07,NA,1.65,15.38,7.74,NA,11.04,NA,9.33,NA,0.69,0.82,2.04,NA,NA,NA
"895","Health","PCPIM_PC_CP_A_PT","2009-08-31",3.53,2.74,1.51,NA,NA,12.29,6.81,NA,NA,NA,NA,0.72,NA,NA,NA,NA,5.56,14.23,NA,NA,6.96,NA,NA,2.5,4.05,NA,6.93,NA,NA,NA,3.82,0.4,6.79,-18.7,NA,10.15,-19.64,1.02,NA,0.77,14.57,7.99,NA,11.02,NA,9.65,NA,0.69,0.58,2.04,NA,NA,NA
"896","Health","PCPIM_PC_CP_A_PT","2009-09-30",3.39,4.01,1.61,NA,NA,12.5,6.91,NA,NA,NA,NA,1.19,NA,NA,NA,NA,5.71,13.61,NA,NA,8.34,NA,NA,2.57,4.05,NA,7.05,NA,NA,NA,4.64,1.19,5.95,-22.27,NA,10.05,-19.62,0.67,NA,1.15,12.13,6.21,NA,11.02,NA,9.67,NA,0.69,0.89,2.17,NA,NA,NA
"897","Health","PCPIM_PC_CP_A_PT","2009-10-31",3.39,3.46,1.61,NA,NA,12.5,2.67,NA,NA,NA,NA,0.42,NA,NA,NA,NA,6.63,13.96,NA,NA,7.87,NA,NA,3.1,4.05,NA,8.67,NA,NA,NA,4.42,1.28,6.1,-21.86,NA,9.71,-19.62,0.32,NA,0.65,11.12,6.75,NA,11.02,NA,9.56,NA,0.68,0.91,1.92,NA,NA,NA
"898","Health","PCPIM_PC_CP_A_PT","2009-11-30",3.24,3.47,1.61,NA,NA,20.67,1.27,NA,NA,NA,NA,-2.21,NA,NA,NA,NA,6.84,14.57,NA,NA,6.06,NA,NA,3.28,4.05,NA,9.48,NA,NA,NA,5.14,1.38,5.97,-21.96,NA,6.18,-15.68,1.39,NA,0.52,0.79,7.49,NA,10.31,NA,11.21,NA,0.69,1.31,1.61,NA,NA,NA
"899","Health","PCPIM_PC_CP_A_PT","2009-12-31",3.31,3.73,1.71,NA,NA,-3.16,1.64,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,6.96,18.49,NA,NA,6.11,NA,NA,3.45,4.05,NA,8.82,NA,NA,NA,5.32,1.38,5.88,-21.98,NA,5.99,-19.16,0.76,NA,1.49,1.21,7.27,NA,10.31,NA,14.76,NA,0.69,1.51,1.57,NA,NA,NA
"900","Health","PCPIM_PC_CP_A_PT","2010-01-31",3.31,3.78,-0.59,NA,NA,1.15,1.27,NA,NA,NA,NA,-2.17,NA,NA,NA,NA,3.29,20.34,NA,NA,6.17,NA,NA,3.4,4.05,NA,35.86,NA,NA,NA,6.38,1.09,6.12,-10.51,NA,6.08,-4.07,4.25,NA,1.86,1.98,5.71,NA,10.31,NA,6.34,NA,0.05,1.89,0.93,NA,NA,-7.49
"901","Health","PCPIM_PC_CP_A_PT","2010-02-28",2.52,4.01,1.19,NA,NA,-0.07,2.81,NA,NA,NA,NA,-2.77,NA,NA,NA,NA,4.13,20.4,NA,NA,5.83,NA,NA,3.96,4.05,NA,9.29,NA,NA,NA,6,0.99,6.08,-1.71,NA,6.39,0.82,2.81,NA,0.57,0.9,5.79,NA,9.3,NA,6.35,NA,0.05,1.27,0.76,NA,NA,0
"902","Health","PCPIM_PC_CP_A_PT","2010-03-31",2.4,3.64,1.48,NA,NA,-0.07,2.62,NA,NA,NA,NA,-3.83,NA,NA,NA,NA,4.08,18.2,NA,NA,6.54,NA,NA,1.26,0,NA,12.26,NA,NA,NA,4.87,0.98,7.24,-2.46,NA,6.36,0.87,1.32,NA,0.17,0.24,6.07,NA,7.01,NA,8.61,NA,0.05,0.78,0.74,NA,NA,1.63
"903","Health","PCPIM_PC_CP_A_PT","2010-04-30",2.4,4.38,1.48,NA,NA,-0.6,2.16,NA,NA,NA,NA,0.75,NA,NA,NA,NA,2.97,18.9,NA,NA,7.93,NA,NA,1.73,0,NA,15,NA,NA,NA,3.89,1.28,7.91,-2.99,NA,3.76,0.58,1.61,NA,0.9,0.28,6.93,NA,6.78,NA,8.54,NA,0.05,0.65,0.68,NA,NA,4.19
"904","Health","PCPIM_PC_CP_A_PT","2010-05-31",2.61,5.88,1.78,NA,NA,-0.2,2.16,NA,NA,NA,NA,-0.25,NA,NA,NA,NA,2.14,16.33,NA,NA,8.15,NA,NA,1.97,0,NA,18.33,NA,NA,NA,3.71,1.38,5.54,-3.32,NA,5.65,0.85,1.2,NA,1.02,-0.33,5.99,NA,6.58,NA,7.25,NA,0.05,0.41,1.51,NA,NA,3.48
"905","Health","PCPIM_PC_CP_A_PT","2010-06-30",2.56,6.75,1.58,NA,NA,-0.6,2.51,NA,NA,NA,NA,-0.48,NA,NA,NA,NA,1.32,14.05,NA,NA,8.44,NA,NA,2.15,0,NA,18.31,NA,NA,NA,3.35,1.28,4.98,4.49,NA,8.39,1.02,1.23,NA,1.28,-0.57,6.14,NA,7.53,NA,2.51,NA,0.05,-0.07,1.61,NA,NA,0.65
"906","Health","PCPIM_PC_CP_A_PT","2010-07-31",2.56,6.95,1.58,NA,NA,-2.22,2.51,NA,NA,NA,NA,-0.8,NA,NA,NA,NA,1.67,13.05,NA,NA,8.7,NA,NA,2.08,0.33,NA,19.46,NA,NA,NA,4.2,1.28,4.89,4.16,NA,8.46,1.16,-0.72,NA,0.9,-0.77,7.68,NA,7.5,NA,2.28,NA,0.03,0.41,1.38,NA,NA,1.3
"907","Health","PCPIM_PC_CP_A_PT","2010-08-31",2.91,7.78,1.58,NA,NA,-0.6,2.51,NA,NA,NA,NA,-0.28,NA,NA,NA,NA,1.74,12.5,NA,NA,9.27,NA,NA,2.07,0.33,NA,21.62,NA,NA,NA,5.31,1.28,5.57,4.86,NA,10.31,1.47,-1.17,NA,0.91,-1.35,9.42,NA,7.3,NA,2.6,NA,0.1,-0.42,1.36,NA,NA,-0.64
"908","Health","PCPIM_PC_CP_A_PT","2010-09-30",3.04,7.13,1.48,NA,NA,-0.78,2.51,NA,NA,NA,NA,-1.41,NA,NA,NA,NA,1.26,12.42,NA,NA,8.45,NA,NA,2.13,0.33,NA,20.65,NA,NA,NA,5.2,0.49,5.86,4.95,NA,10.24,1.43,-1.55,NA,1.28,0.9,9.3,NA,7.49,NA,2.81,NA,0.1,-0.01,1.32,NA,NA,-0.32
"909","Health","PCPIM_PC_CP_A_PT","2010-10-31",3.04,7.85,1.48,NA,NA,-0.78,2.51,NA,NA,NA,NA,-0.6,NA,NA,NA,NA,1.15,13.74,NA,NA,7.81,NA,NA,2.45,0.33,NA,19.94,NA,NA,NA,4.49,0.49,6.88,4.83,NA,12.22,1.44,-2.25,NA,0.93,0.9,8.75,NA,7.49,NA,2.87,NA,0.11,0.18,1.24,NA,NA,-0.32
"910","Health","PCPIM_PC_CP_A_PT","2010-11-30",3.32,7.75,1.48,NA,NA,-0.78,2.51,NA,NA,NA,NA,1.02,NA,NA,NA,NA,0.94,15.19,NA,NA,8.97,NA,NA,2.34,0.33,NA,19.62,NA,NA,NA,4.05,0.39,6.53,4.86,NA,11.1,-3.17,-2.94,NA,1.32,1.5,9.88,NA,7.66,NA,2.74,NA,0.09,-0.49,1.45,NA,NA,2.47
"911","Health","PCPIM_PC_CP_A_PT","2010-12-31",3.22,7.71,1.37,NA,NA,-0.78,2.15,NA,NA,NA,NA,1.32,NA,NA,NA,NA,0.7,13.71,NA,NA,8.41,NA,NA,2.23,0,NA,19.23,NA,NA,NA,3.88,0.39,6.1,4.84,NA,10.71,0.93,-2.1,NA,1.06,0.9,10.15,NA,7.66,NA,8.28,NA,0.09,3.51,1.72,NA,NA,1.63
"912","Health","PCPIM_PC_CP_A_PT","2011-01-31",3.22,7.34,2.09,3.04,NA,29.15,2.15,NA,NA,-1.44,-1.7,3.13,NA,NA,1.29,1.43,0.87,11.98,0.33,NA,8.34,NA,NA,2.13,0,NA,-4.95,NA,1.14,0.07,5.08,0.59,4.83,5.77,NA,8.11,2.77,-1.14,NA,-0.13,0.14,7.23,NA,7.85,NA,14.62,NA,0.11,2.83,1.78,NA,NA,0.49
"913","Health","PCPIM_PC_CP_A_PT","2011-02-28",3.6,7.68,0.2,2.86,NA,28.76,0.62,NA,NA,-1.39,-1.7,4.39,NA,NA,1.29,0.48,-0.19,10.1,1.14,NA,7.9,NA,NA,2.04,0,NA,17.86,NA,1.44,0.13,4.91,0.49,4.5,5.92,NA,9.34,3.16,-1.25,NA,1.39,0.14,7.23,NA,6.38,NA,15.68,NA,0.11,2.15,1.82,NA,NA,0.49
"914","Health","PCPIM_PC_CP_A_PT","2011-03-31",4.06,7.89,0,2.94,NA,28.76,0.62,NA,NA,2.33,-0.95,3.67,NA,NA,1.77,0.48,-0.13,10.35,9.51,NA,7.87,NA,NA,1.99,0,NA,15.26,NA,1.83,0.13,4.48,0.39,2.3,6.38,NA,11.59,3.21,-0.19,NA,1.14,2.04,7.69,NA,6.73,NA,14.89,NA,0.11,3.96,2.13,NA,NA,-0.96
"915","Health","PCPIM_PC_CP_A_PT","2011-04-30",4.06,7.83,0,4.48,NA,28.76,0.62,NA,NA,2.43,-1.8,0.16,NA,NA,1.93,0.48,0.92,9.66,9.79,NA,7.62,NA,NA,1.56,0,NA,13.11,NA,1.61,0.1,7.4,0.1,1.57,6.03,NA,11.73,3.23,-0.39,NA,1.14,1.99,6.74,NA,6.35,NA,16.18,NA,0.11,4.86,2.27,NA,NA,-0.96
"916","Health","PCPIM_PC_CP_A_PT","2011-05-31",3.86,6.92,-0.1,4.47,NA,29.25,0.62,NA,NA,2.14,-1.8,0.38,NA,NA,1.93,3.34,1.13,10.81,10.09,NA,8.39,NA,NA,1.57,0,NA,9.59,NA,2.34,-0.01,7.41,0,1.59,5.76,NA,11.26,3.6,-0.54,NA,1.09,2.36,6.38,NA,6.35,NA,17.55,NA,0.11,4.55,1.43,NA,NA,-0.96
"917","Health","PCPIM_PC_CP_A_PT","2011-06-30",4.37,8.35,0.1,4.54,NA,29.3,0,NA,NA,1.94,-0.46,0.72,NA,NA,1.93,3.4,1.32,11.47,1.76,NA,9.65,NA,NA,1.59,0,NA,9.98,NA,1.45,-0.09,7.4,0.1,1.47,4.92,NA,10.51,3.36,0.31,NA,0.78,2.62,6.62,NA,5.43,NA,19.28,NA,0.1,5.47,1.37,7.25,NA,-0.32
"918","Health","PCPIM_PC_CP_A_PT","2011-07-31",4.37,9.73,0.1,4.3,NA,31.44,0,NA,NA,3.78,-0.48,2.8,NA,NA,2.04,5.06,1.32,12.82,7.01,NA,10.34,NA,NA,1.39,-0.33,NA,8.65,NA,1.74,-0.07,6.08,0.1,0.61,4.6,NA,7.25,3.22,1.22,NA,0.86,2.3,5.68,NA,5.24,NA,22.19,NA,0.1,4.04,1.46,6.86,NA,-0.48
"919","Health","PCPIM_PC_CP_A_PT","2011-08-31",5.1,9.91,0.1,4.28,NA,22.66,0,NA,NA,3.98,0.43,2.36,NA,NA,2.04,5.06,6.21,12.99,6.92,NA,10.21,NA,NA,1.15,-0.33,NA,7.1,NA,2.1,0.12,5.12,0.1,0.08,4.28,NA,7.21,3.19,1.39,NA,0.83,2.04,5.09,NA,5.24,NA,22.96,NA,0.03,4.33,1.81,9.6,NA,-0.16
"920","Health","PCPIM_PC_CP_A_PT","2011-09-30",5.24,10.02,0.1,4.37,NA,31.32,0,NA,NA,3.98,0.43,1.9,NA,NA,2.04,5.06,6.21,13.78,6.94,NA,17.09,NA,NA,1.12,-0.33,NA,7.43,NA,1.9,-0.11,4.78,0.1,-0.5,4.21,NA,9.2,3.15,2.19,NA,0.36,1.85,6.87,NA,5.05,NA,23.9,NA,0.02,3.49,1.79,10.16,NA,-0.48
"921","Health","PCPIM_PC_CP_A_PT","2011-10-31",5.24,9.67,0.1,5.92,NA,36.1,-0.09,NA,NA,3.98,1.25,0.99,NA,NA,1,5.34,6.12,11.54,-1.93,NA,22.15,NA,NA,0.76,-0.33,NA,6.34,NA,1.27,-0.15,4.62,0.1,-1.57,4.17,NA,6.1,3.15,2.25,NA,0.47,2.19,7.2,NA,5.4,NA,25.82,NA,0.01,3.03,1.8,11.49,NA,0
"922","Health","PCPIM_PC_CP_A_PT","2011-11-30",4.65,10.46,0.1,6,NA,36.1,0.35,NA,NA,4.17,0.81,1.26,NA,NA,0.75,5.34,6.17,10.28,-1.86,NA,22.68,NA,NA,0.59,-0.33,NA,5.53,NA,1.6,0.03,4.62,0.19,-1.75,4.17,NA,10.44,3.01,2.35,NA,0.33,2.52,5.68,NA,5.21,NA,27.31,NA,0.01,3.58,1.76,11.92,NA,0
"923","Health","PCPIM_PC_CP_A_PT","2011-12-31",4.93,11.28,0.11,6.07,NA,36.1,0.35,NA,NA,3.98,-0.04,0.79,NA,NA,0.74,5.34,6.35,10.8,-1.91,NA,23.66,NA,NA,0.68,0,NA,5.3,NA,1.15,0.08,4.46,0.49,-1.13,4.26,NA,8.96,3.08,1.71,NA,0.78,2.52,5.42,NA,5.21,NA,21,NA,0.01,-0.54,1.51,14.99,NA,0
"924","Health","PCPIM_PC_CP_A_PT","2012-01-31",4.93,11.8,1.46,6.05,NA,4.62,0.38,NA,NA,4.48,4.53,0.24,NA,NA,0.75,11.23,6.54,11.32,2.51,NA,23.51,NA,NA,0.69,0,NA,4.84,NA,-0.23,0.83,3.17,0.49,0.12,3.28,NA,10.19,0.8,0.55,NA,1.24,2.48,9.93,NA,5.2,NA,14.15,NA,0,-0.1,1.54,17.32,NA,0.48
"925","Health","PCPIM_PC_CP_A_PT","2012-02-29",5.17,11.98,1.46,6.3,NA,4.93,0.38,NA,NA,0.66,4.89,-0.01,NA,NA,0.75,11.21,6.77,13.09,0.52,NA,25.73,NA,NA,0.61,0,NA,4.85,NA,-0.78,0.89,3.81,0.49,-0.29,3.5,NA,6.97,0.43,0.93,NA,1.23,4.65,9.9,NA,5.33,NA,13.23,NA,0,1.08,1.72,18.39,NA,1.13
"926","Health","PCPIM_PC_CP_A_PT","2012-03-31",4.87,12.21,1.46,6.28,NA,4.93,0.38,NA,NA,2.09,4.81,0.05,NA,NA,0.28,11.21,6.62,7.12,-0.52,NA,28.2,NA,NA,0.56,0,NA,5.28,NA,-0.39,1.04,4.45,0.58,1.49,3.1,NA,10.38,-0.65,1.43,NA,0.84,2.7,9.31,NA,4.98,NA,13.82,NA,0.25,0.45,1.62,18.76,NA,1.13
"927","Health","PCPIM_PC_CP_A_PT","2012-04-30",4.87,12.16,1.46,6.02,NA,4.93,0.46,NA,NA,2.18,4.81,-0.86,NA,NA,0.11,11.21,6.3,10.79,0.32,NA,29.02,NA,NA,0.54,0,NA,6.3,NA,-1.03,1.59,1.78,0.68,1.09,3.28,NA,11.01,-0.56,1.69,NA,0.94,2.7,8.79,NA,5.14,NA,18.84,NA,0.25,-1.39,1.65,20.13,NA,1.46
"928","Health","PCPIM_PC_CP_A_PT","2012-05-31",4.82,11.97,1.46,6.01,NA,4.93,0.46,NA,NA,2.57,4.81,-0.29,NA,NA,0.11,8.14,6.63,8.23,-0.56,NA,28.69,NA,NA,0.39,0,NA,7.72,NA,-0.39,2.17,1.86,0.78,0.89,3.22,NA,12.18,-0.74,1.86,NA,0.96,6.04,9.52,NA,5.31,33.91,18.98,NA,0.25,-1.08,1.78,19.54,NA,1.29
"929","Health","PCPIM_PC_CP_A_PT","2012-06-30",4.35,10.43,1.36,5.91,NA,4.5,0.46,NA,NA,2.57,3.5,-0.81,NA,NA,0.11,8.08,6.83,9.62,-0.48,NA,28.4,NA,NA,0.25,0,NA,8.29,NA,-1.29,2.18,1.7,0.87,1.1,3.39,NA,9.34,-0.75,1.43,NA,0.74,6.36,9.25,NA,5.32,55.16,47.36,NA,0.25,-2.14,2.05,19.27,NA,1.29
"930","Health","PCPIM_PC_CP_A_PT","2012-07-31",4.35,9.45,1.36,6.36,NA,4.5,0.28,NA,NA,0.75,4.55,-2.54,NA,NA,1.7,6.36,6.69,9.04,0.2,NA,28.82,NA,NA,0.38,0,NA,9.21,NA,-1.3,6.16,4.11,0.87,0.98,3.47,NA,10.99,-0.42,1.52,NA,0.9,7.65,7.79,NA,5.31,-8.94,53.67,NA,0.38,-3.11,2,19.51,NA,1.78
"931","Health","PCPIM_PC_CP_A_PT","2012-08-31",3.51,9.18,1.36,6.44,NA,10.16,0.28,NA,NA,0.75,3.11,-2.06,NA,NA,1.7,6.36,15.26,9.43,-0.65,NA,28.58,NA,NA,0.46,0,NA,8.56,NA,-1.69,6.03,3.94,0.87,0.61,3.59,NA,9.63,-0.78,1.79,NA,1.12,7.93,7.1,NA,5.47,-29,53.24,NA,0.42,-2.56,1.71,19.65,NA,2.1
"932","Health","PCPIM_PC_CP_A_PT","2012-09-30",3.28,8.96,1.36,6.5,NA,2.89,0.28,NA,NA,0.75,3.11,-0.98,NA,NA,1.77,6.36,15.27,10.37,-0.62,NA,21.68,NA,NA,0.4,0,NA,9,NA,-1.64,6.3,4.1,0.87,0.93,3.35,NA,8.26,-0.55,1.72,NA,1.42,7.45,7.53,NA,5.8,-3.62,52.02,NA,0.42,-2.19,2.13,19.2,NA,2.42
"933","Health","PCPIM_PC_CP_A_PT","2012-10-31",3.28,8.79,1.36,4.92,NA,-0.72,0.44,NA,NA,0.84,3.57,-0.78,NA,NA,2.54,6.09,14.83,25.21,-0.72,NA,17.35,NA,NA,0.38,0,NA,8.29,NA,-1.65,6.23,4.88,0.78,1.71,3.63,NA,9.28,-0.55,1.6,NA,1.35,7.09,7.24,NA,5.45,-8.6,50.5,NA,0.45,-2.67,2.09,17.86,NA,1.93
"934","Health","PCPIM_PC_CP_A_PT","2012-11-30",4.34,8.52,1.36,4.84,NA,-0.72,0.35,NA,NA,3.63,3.57,-0.54,NA,NA,2.54,6.09,15.29,26.19,-0.72,NA,16.9,NA,NA,0.54,-2.59,NA,9.21,NA,-2.44,6.2,4.96,0.68,2.02,3.62,NA,8.8,-0.52,1.67,NA,1.41,7.3,7.55,NA,5.28,2,51.64,NA,0.61,-2.85,1.93,17.53,NA,1.93
"935","Health","PCPIM_PC_CP_A_PT","2012-12-31",4.1,7.97,1.36,4.91,NA,-0.72,0.35,NA,NA,3.82,3.57,-1.62,NA,NA,4.42,6.09,15.34,28.11,-0.72,NA,17.63,NA,NA,0.41,-4.55,NA,9.31,NA,-1.89,6.18,5.28,0.39,2.67,3.2,NA,9.04,-0.52,1.57,NA,0.71,7.3,7.91,NA,5.45,-3.76,52.69,NA,0.61,-3.04,1.95,11.62,NA,2.25
"936","Health","PCPIM_PC_CP_A_PT","2013-01-31",4.1,8.08,0.32,7.54,NA,0,0.32,0.3,NA,3.82,5,-2.46,2.97,NA,4.41,3.01,14.98,26.02,-0.13,NA,18.66,NA,NA,0.39,0,NA,9.03,NA,-0.18,5.46,5,0.68,4.84,2.13,NA,9.45,1.52,1.23,NA,1.96,7.34,5.06,NA,5.44,-24.48,60.92,NA,0.62,-2.19,1.95,9.41,4.12,1.92
"937","Health","PCPIM_PC_CP_A_PT","2013-02-28",4.18,8.03,0.24,7.52,NA,0,0.32,0.3,NA,3.91,4.64,-2.19,0.2,NA,12.52,3.01,14.69,21.5,1.09,NA,18.11,NA,NA,0.55,0,NA,8.63,NA,-0.48,5.33,4.58,0.77,5.16,2.4,NA,10.43,1.55,1.1,NA,2.53,5.52,5.18,NA,4.11,-22.66,70.68,NA,0.62,-4.43,1.8,8.71,3.32,3.19
"938","Health","PCPIM_PC_CP_A_PT","2013-03-31",4.55,7.94,0.24,7.43,NA,0,0.32,0.1,NA,4,7.26,-1.39,0.25,NA,12.52,3.01,14.67,27.65,2.06,NA,17.12,NA,NA,0.52,-3.24,NA,8.18,NA,-1.15,5.07,4.56,0.77,4.23,2.38,NA,5.17,1.2,0.81,NA,2.74,5.52,5.02,NA,3.79,-21.28,73.15,NA,0.37,-2.9,1.73,8.21,4.87,3.19
